OrderID,OrderDate,CustomerID,Region,Category,SubCategory,Sales,Profit,Discount
ORD-20250001,2025-01-01,CUST-202,Central,Furniture,Bookcases,47.01,7.51,0.0
ORD-20250002,2025-01-01,CUST-279,West,Furniture,Chairs,1054.92,196.09,0.15
ORD-20250003,2025-01-01,CUST-192,East,Furniture,Bookcases,208.42,37.52,0.0
ORD-20250004,2025-01-01,CUST-114,East,Furniture,Chairs,1573.97,180.39,0.15
ORD-20250005,2025-01-02,CUST-206,East,Office Supplies,Storage,951.19,76.17,0.05
ORD-20250006,2025-01-02,CUST-171,West,Technology,Laptops,1265.45,-97.96,0.0
ORD-20250007,2025-01-02,CUST-288,Central,Furniture,Bookcases,751.33,-68.16,0.1
ORD-20250008,2025-01-03,CUST-120,East,Furniture,Tables,1017.83,51.24,0.05
ORD-20250009,2025-01-03,CUST-202,Central,Office Supplies,Binders,1697.93,68.15,0.05
ORD-20250010,2025-01-03,CUST-221,South,Furniture,Bookcases,167.27,10.51,0.0
ORD-20250011,2025-01-04,CUST-174,West,Office Supplies,Paper,472.01,-19.77,0.0
ORD-20250012,2025-01-04,CUST-187,Central,Office Supplies,Paper,1408.38,295.8,0.0
ORD-20250013,2025-01-04,CUST-216,West,Technology,Printers,195.75,50.88,0.0
ORD-20250014,2025-01-04,CUST-199,Central,Technology,Phones,154.68,45.52,0.0
ORD-20250015,2025-01-05,CUST-203,West,Furniture,Furnishings,663.54,70.86,0.0
ORD-20250016,2025-01-05,CUST-251,West,Technology,Phones,184.06,35.77,0.0
ORD-20250017,2025-01-05,CUST-230,East,Furniture,Chairs,1061.44,275.26,0.0
ORD-20250018,2025-01-06,CUST-249,West,Office Supplies,Binders,422.77,32.0,0.0
ORD-20250019,2025-01-06,CUST-152,East,Technology,Printers,1614.34,48.35,0.0
ORD-20250020,2025-01-06,CUST-101,West,Technology,Phones,1414.63,415.09,0.2
ORD-20250021,2025-01-07,CUST-187,East,Technology,Printers,1265.48,147.53,0.0
ORD-20250022,2025-01-07,CUST-257,South,Office Supplies,Binders,1118.16,121.71,0.1
ORD-20250023,2025-01-07,CUST-137,Central,Furniture,Tables,1556.97,-39.03,0.0
ORD-20250024,2025-01-07,CUST-229,West,Technology,Printers,417.05,-22.76,0.2
ORD-20250025,2025-01-08,CUST-291,East,Office Supplies,Binders,1574.13,399.33,0.0
ORD-20250026,2025-01-08,CUST-287,South,Office Supplies,Storage,1425.3,225.11,0.2
ORD-20250027,2025-01-08,CUST-120,Central,Technology,Accessories,1351.73,49.81,0.1
ORD-20250028,2025-01-09,CUST-260,Central,Office Supplies,Binders,1019.04,-19.84,0.0
ORD-20250029,2025-01-09,CUST-157,East,Office Supplies,Storage,458.31,61.1,0.15
ORD-20250030,2025-01-09,CUST-121,West,Furniture,Chairs,773.92,112.41,0.05
ORD-20250031,2025-01-10,CUST-188,East,Technology,Printers,1432.56,-18.71,0.0
ORD-20250032,2025-01-10,CUST-148,East,Technology,Phones,76.57,19.72,0.1
ORD-20250033,2025-01-10,CUST-158,Central,Technology,Printers,1412.05,-91.23,0.2
ORD-20250034,2025-01-11,CUST-269,Central,Office Supplies,Binders,447.33,22.17,0.05
ORD-20250035,2025-01-11,CUST-287,West,Office Supplies,Paper,276.87,51.43,0.0
ORD-20250036,2025-01-11,CUST-114,South,Technology,Laptops,225.95,3.42,0.1
ORD-20250037,2025-01-11,CUST-289,West,Technology,Laptops,68.51,16.96,0.1
ORD-20250038,2025-01-12,CUST-289,West,Technology,Printers,951.98,200.62,0.15
ORD-20250039,2025-01-12,CUST-274,West,Technology,Printers,408.5,94.52,0.1
ORD-20250040,2025-01-12,CUST-289,South,Office Supplies,Appliances,1781.19,-89.02,0.0
ORD-20250041,2025-01-13,CUST-150,East,Technology,Phones,1042.5,-42.71,0.2
ORD-20250042,2025-01-13,CUST-207,South,Technology,Accessories,265.44,5.39,0.0
ORD-20250043,2025-01-13,CUST-154,Central,Technology,Printers,1246.0,146.52,0.0
ORD-20250044,2025-01-14,CUST-163,East,Furniture,Furnishings,1617.98,346.52,0.05
ORD-20250045,2025-01-14,CUST-230,West,Furniture,Chairs,1346.42,338.41,0.05
ORD-20250046,2025-01-14,CUST-150,South,Office Supplies,Appliances,156.06,30.56,0.0
ORD-20250047,2025-01-14,CUST-234,West,Technology,Phones,1614.67,468.27,0.1
ORD-20250048,2025-01-15,CUST-120,South,Office Supplies,Binders,1433.19,301.36,0.0
ORD-20250049,2025-01-15,CUST-172,South,Furniture,Furnishings,301.78,8.64,0.05
ORD-20250050,2025-01-15,CUST-266,West,Technology,Printers,112.18,1.27,0.15
ORD-20250051,2025-01-16,CUST-117,West,Furniture,Tables,1012.01,194.71,0.0
ORD-20250052,2025-01-16,CUST-231,South,Office Supplies,Binders,297.74,-5.66,0.0
ORD-20250053,2025-01-16,CUST-188,Central,Office Supplies,Binders,1505.57,-91.93,0.0
ORD-20250054,2025-01-17,CUST-159,East,Furniture,Furnishings,657.84,81.27,0.2
ORD-20250055,2025-01-17,CUST-113,East,Furniture,Bookcases,1644.95,403.16,0.0
ORD-20250056,2025-01-17,CUST-108,West,Office Supplies,Storage,1026.92,-58.97,0.0
ORD-20250057,2025-01-18,CUST-189,South,Furniture,Bookcases,345.16,80.28,0.05
ORD-20250058,2025-01-18,CUST-152,Central,Technology,Printers,268.49,64.67,0.05
ORD-20250059,2025-01-18,CUST-229,Central,Office Supplies,Binders,1046.12,107.28,0.0
ORD-20250060,2025-01-18,CUST-183,East,Technology,Printers,1376.15,-104.49,0.05
ORD-20250061,2025-01-19,CUST-191,East,Furniture,Tables,1411.08,-37.64,0.0
ORD-20250062,2025-01-19,CUST-210,South,Technology,Printers,510.85,100.7,0.2
ORD-20250063,2025-01-19,CUST-287,East,Technology,Printers,383.56,76.31,0.0
ORD-20250064,2025-01-20,CUST-298,East,Technology,Laptops,49.83,13.82,0.0
ORD-20250065,2025-01-20,CUST-271,East,Office Supplies,Storage,1228.97,177.87,0.05
ORD-20250066,2025-01-20,CUST-107,Central,Technology,Laptops,156.29,-7.48,0.0
ORD-20250067,2025-01-21,CUST-274,South,Technology,Phones,768.95,-37.68,0.1
ORD-20250068,2025-01-21,CUST-134,East,Technology,Phones,1090.99,221.34,0.0
ORD-20250069,2025-01-21,CUST-180,West,Furniture,Tables,1688.05,-38.51,0.0
ORD-20250070,2025-01-21,CUST-263,Central,Office Supplies,Appliances,575.01,21.81,0.1
ORD-20250071,2025-01-22,CUST-149,South,Furniture,Chairs,464.59,48.61,0.05
ORD-20250072,2025-01-22,CUST-203,East,Furniture,Chairs,1184.41,-106.12,0.05
ORD-20250073,2025-01-22,CUST-231,West,Office Supplies,Appliances,1122.25,5.05,0.0
ORD-20250074,2025-01-23,CUST-101,West,Furniture,Furnishings,611.16,43.58,0.0
ORD-20250075,2025-01-23,CUST-233,South,Technology,Accessories,1672.02,29.17,0.0
ORD-20250076,2025-01-23,CUST-153,West,Technology,Printers,1523.85,-65.11,0.0
ORD-20250077,2025-01-24,CUST-205,East,Technology,Laptops,418.69,86.15,0.05
ORD-20250078,2025-01-24,CUST-103,Central,Furniture,Tables,445.67,107.64,0.15
ORD-20250079,2025-01-24,CUST-153,Central,Furniture,Bookcases,931.89,7.59,0.0
ORD-20250080,2025-01-24,CUST-290,East,Office Supplies,Paper,1396.96,314.67,0.0
ORD-20250081,2025-01-25,CUST-245,South,Technology,Phones,98.39,6.09,0.0
ORD-20250082,2025-01-25,CUST-143,East,Furniture,Furnishings,1254.14,141.48,0.0
ORD-20250083,2025-01-25,CUST-261,West,Furniture,Tables,1173.86,304.64,0.0
ORD-20250084,2025-01-26,CUST-289,West,Furniture,Chairs,432.03,92.88,0.2
ORD-20250085,2025-01-26,CUST-113,Central,Office Supplies,Storage,1232.81,293.59,0.1
ORD-20250086,2025-01-26,CUST-194,West,Furniture,Bookcases,1693.53,-72.02,0.2
ORD-20250087,2025-01-27,CUST-147,South,Technology,Laptops,103.28,-7.3,0.15
ORD-20250088,2025-01-27,CUST-114,Central,Office Supplies,Storage,588.98,162.1,0.05
ORD-20250089,2025-01-27,CUST-299,Central,Furniture,Bookcases,799.95,50.31,0.05
ORD-20250090,2025-01-28,CUST-289,Central,Furniture,Tables,1620.68,33.89,0.0
ORD-20250091,2025-01-28,CUST-139,Central,Furniture,Furnishings,1732.83,354.14,0.05
ORD-20250092,2025-01-28,CUST-181,East,Furniture,Furnishings,810.53,203.68,0.2
ORD-20250093,2025-01-28,CUST-210,West,Office Supplies,Storage,1355.05,355.36,0.0
ORD-20250094,2025-01-29,CUST-152,South,Technology,Printers,966.36,31.62,0.15
ORD-20250095,2025-01-29,CUST-123,East,Technology,Printers,977.25,252.06,0.0
ORD-20250096,2025-01-29,CUST-253,Central,Technology,Accessories,515.02,-42.65,0.15
ORD-20250097,2025-01-30,CUST-287,South,Office Supplies,Appliances,406.18,-32.15,0.2
ORD-20250098,2025-01-30,CUST-223,East,Technology,Accessories,532.65,86.22,0.1
ORD-20250099,2025-01-30,CUST-140,Central,Office Supplies,Paper,1010.26,-74.25,0.1
ORD-20250100,2025-01-31,CUST-256,West,Furniture,Tables,71.9,2.61,0.05
ORD-20250101,2025-01-31,CUST-114,West,Office Supplies,Binders,1634.9,298.46,0.15
ORD-20250102,2025-01-31,CUST-144,East,Office Supplies,Appliances,298.19,12.42,0.2
ORD-20250103,2025-01-31,CUST-164,East,Office Supplies,Appliances,411.76,-10.12,0.1
ORD-20250104,2025-02-01,CUST-188,Central,Office Supplies,Appliances,942.53,17.12,0.1
ORD-20250105,2025-02-01,CUST-170,Central,Furniture,Tables,1284.0,118.36,0.1
ORD-20250106,2025-02-01,CUST-108,Central,Furniture,Chairs,190.4,18.98,0.15
ORD-20250107,2025-02-02,CUST-187,West,Technology,Phones,585.5,134.0,0.05
ORD-20250108,2025-02-02,CUST-228,East,Technology,Laptops,1744.24,375.12,0.15
ORD-20250109,2025-02-02,CUST-235,Central,Furniture,Chairs,486.97,44.73,0.05
ORD-20250110,2025-02-03,CUST-162,East,Furniture,Tables,577.23,147.3,0.0
ORD-20250111,2025-02-03,CUST-238,South,Technology,Phones,1508.97,-78.5,0.0
ORD-20250112,2025-02-03,CUST-180,Central,Furniture,Bookcases,109.38,0.79,0.05
ORD-20250113,2025-02-04,CUST-235,Central,Office Supplies,Storage,847.01,209.85,0.0
ORD-20250114,2025-02-04,CUST-262,South,Furniture,Tables,695.72,40.88,0.0
ORD-20250115,2025-02-04,CUST-262,East,Office Supplies,Paper,583.52,182.11,0.05
ORD-20250116,2025-02-04,CUST-132,Central,Office Supplies,Appliances,528.55,50.65,0.0
ORD-20250117,2025-02-05,CUST-222,West,Office Supplies,Paper,182.65,42.49,0.0
ORD-20250118,2025-02-05,CUST-104,South,Furniture,Bookcases,580.39,40.03,0.1
ORD-20250119,2025-02-05,CUST-140,East,Office Supplies,Storage,96.63,7.58,0.2
ORD-20250120,2025-02-06,CUST-127,Central,Office Supplies,Paper,1410.12,85.75,0.1
ORD-20250121,2025-02-06,CUST-234,South,Office Supplies,Paper,728.85,147.24,0.2
ORD-20250122,2025-02-06,CUST-171,East,Technology,Printers,810.15,105.29,0.1
ORD-20250123,2025-02-07,CUST-111,West,Furniture,Furnishings,1610.6,477.36,0.0
ORD-20250124,2025-02-07,CUST-261,Central,Technology,Phones,1191.34,6.4,0.1
ORD-20250125,2025-02-07,CUST-132,West,Technology,Phones,34.35,-1.98,0.1
ORD-20250126,2025-02-07,CUST-147,East,Furniture,Chairs,1698.85,110.71,0.0
ORD-20250127,2025-02-08,CUST-250,East,Office Supplies,Paper,442.12,70.31,0.0
ORD-20250128,2025-02-08,CUST-161,East,Office Supplies,Binders,211.55,55.33,0.1
ORD-20250129,2025-02-08,CUST-136,South,Technology,Phones,1387.27,62.99,0.0
ORD-20250130,2025-02-09,CUST-198,West,Office Supplies,Appliances,910.85,159.03,0.1
ORD-20250131,2025-02-09,CUST-271,East,Furniture,Bookcases,792.11,37.3,0.0
ORD-20250132,2025-02-09,CUST-203,West,Office Supplies,Binders,464.12,73.9,0.05
ORD-20250133,2025-02-10,CUST-134,West,Office Supplies,Paper,994.5,270.13,0.05
ORD-20250134,2025-02-10,CUST-292,East,Furniture,Bookcases,508.4,-1.44,0.0
ORD-20250135,2025-02-10,CUST-200,West,Technology,Laptops,1624.82,113.38,0.0
ORD-20250136,2025-02-10,CUST-274,West,Office Supplies,Storage,403.06,127.84,0.1
ORD-20250137,2025-02-11,CUST-230,West,Furniture,Chairs,1594.15,422.12,0.15
ORD-20250138,2025-02-11,CUST-100,Central,Technology,Phones,1015.74,139.31,0.15
ORD-20250139,2025-02-11,CUST-104,East,Office Supplies,Appliances,1494.71,174.86,0.05
ORD-20250140,2025-02-12,CUST-241,Central,Technology,Phones,1288.87,25.17,0.1
ORD-20250141,2025-02-12,CUST-202,West,Office Supplies,Paper,1260.12,147.72,0.0
ORD-20250142,2025-02-12,CUST-126,West,Furniture,Tables,597.34,153.06,0.0
ORD-20250143,2025-02-13,CUST-236,Central,Office Supplies,Appliances,436.34,81.93,0.0
ORD-20250144,2025-02-13,CUST-114,West,Technology,Laptops,395.38,8.63,0.05
ORD-20250145,2025-02-13,CUST-189,South,Office Supplies,Storage,1545.8,-23.78,0.0
ORD-20250146,2025-02-14,CUST-141,Central,Office Supplies,Paper,1480.36,16.86,0.0
